# Latin key <TAB> Devanagari word — hand-written, merged into the word list FST
# alongside the generated ne-words.tsv (see build.rs).
#
# Why this file exists separately from the generated list: mkwords.py derives
# each key by inverting the Devanagari spelling through the schema, which is
# right for Nepali words and useless for these. Nobody reaches कम्प्युटर by
# typing `kamPyuTar`; they type `computer`, English spelling and all, and the
# rule engine reads that letter by letter into चोम्पुतेर — a form so far from
# the word that no amount of fuzzy re-ranking gets back. The same goes for place
# names with a settled English spelling: `kathmandu`, not `kaaThamaaDauM`.
#
# So: the key is what a person types, the value is what they meant. Where usage
# is genuinely split, list both keys. Order does not matter; build.rs sorts.
#
# Groups: English loanwords, then Nepali places, then the wider world, then
# names. All in their accepted Nepali spelling — नेपाली orthography, not Hindi.

# ---- everyday words the generated lexicon simply does not have ---------------
# nep_dict is a lexicon rather than a word list and skips ordinary vocabulary;
# `data/extra-ne.txt` is the hatch for that, but it only takes effect when
# mkwords.py is re-run against the source database. These are the ones the
# accuracy harness caught.
dudh	दूध
duudh	दूध
dhoka	ढोका
dhokaa	ढोका
dharti	धरती
dhartii	धरती
buwa	बुवा
buva	बुवा
chara	चरा
charaa	चरा
janchhu	जान्छु
jaanchhu	जान्छु
khanchhu	खान्छु
khaanchhu	खान्छु

# ---- computing and phones ---------------------------------------------------
computer	कम्प्युटर
kampyutar	कम्प्युटर
laptop	ल्यापटप
mobile	मोबाइल
phone	फोन
internet	इन्टरनेट
email	इमेल
imel	इमेल
password	पासवर्ड
software	सफ्टवेयर
hardware	हार्डवेयर
website	वेबसाइट
online	अनलाइन
offline	अफलाइन
message	मेसेज
video	भिडियो
bhidiyo	भिडियो
audio	अडियो
camera	क्यामेरा
kyamera	क्यामेरा
photo	फोटो
printer	प्रिन्टर
file	फाइल
folder	फोल्डर
keyboard	किबोर्ड
mouse	माउस
screen	स्क्रिन
charger	चार्जर
battery	ब्याट्री
byatri	ब्याट्री
sim	सिम
data	डाटा
network	नेटवर्क
wifi	वाइफाइ
facebook	फेसबुक
youtube	युट्युब
google	गुगल
whatsapp	ह्वाट्सएप
viber	भाइबर

# ---- work, money, paperwork --------------------------------------------------
office	अफिस
aphis	अफिस
bank	बैंक
manager	म्यानेजर
officer	अफिसर
staff	स्टाफ
meeting	मिटिङ
miting	मिटिङ
project	प्रोजेक्ट
program	प्रोग्राम
report	रिपोर्ट
form	फारम
pharam	फारम
company	कम्पनी
kampani	कम्पनी
business	बिजनेस
market	मार्केट
account	एकाउन्ट
budget	बजेट
bajet	बजेट
bill	बिल
rasid	रसिद
cash	क्यास
card	कार्ड
atm	एटिएम
ticket	टिकट
tikat	टिकट
passport	पासपोर्ट
visa	भिसा
bhisa	भिसा
airport	एयरपोर्ट
flight	फ्लाइट
hotel	होटल
hotal	होटल
restaurant	रेस्टुरेन्ट
menu	मेनु
license	लाइसेन्स
laisens	लाइसेन्स

# ---- getting about ----------------------------------------------------------
bus	बस
taxi	ट्याक्सी
tyaksi	ट्याक्सी
truck	ट्रक
bike	बाइक
cycle	साइकल
saikal	साइकल
scooter	स्कुटर
car	कार
jeep	जिप
train	ट्रेन
plane	प्लेन
helicopter	हेलिकप्टर
petrol	पेट्रोल
diesel	डिजेल
gas	ग्यास
road	रोड
building	बिल्डिङ
lift	लिफ्ट

# ---- house and things in it --------------------------------------------------
room	रुम
kitchen	किचन
bathroom	बाथरुम
sofa	सोफा
table	टेबल
light	लाइट
switch	स्विच
fridge	फ्रिज
tv	टिभी
tibhi	टिभी
radio	रेडियो
glass	गिलास
gilas	गिलास
plate	प्लेट
bottle	बोतल
botal	बोतल
cup	कप
soap	साबुन
shampoo	स्याम्पु
towel	तौलिया
brush	ब्रस

# ---- school and health -------------------------------------------------------
school	स्कुल
skul	स्कुल
college	कलेज
kalej	कलेज
university	युनिभर्सिटी
class	क्लास
result	रिजल्ट
pen	पेन
pencil	पेन्सिल
copy	कापी
paper	पेपर
bag	ब्याग
uniform	युनिफर्म
doctor	डाक्टर
daktar	डाक्टर
nurse	नर्स
clinic	क्लिनिक
mask	मास्क
ambulance	एम्बुलेन्स
police	पुलिस
pulis	पुलिस

# ---- food -------------------------------------------------------------------
coffee	कफी
kaphi	कफी
sandwich	स्यान्डविच
pizza	पिज्जा
pijja	पिज्जा
burger	बर्गर
chocolate	चकलेट
chaklet	चकलेट
biscuit	बिस्कुट
biskut	बिस्कुट
cake	केक
icecream	आइसक्रिम
juice	जुस
jus	जुस
noodles	नुडल्स
momo	मम
chowmein	चाउमिन
chaumin	चाउमिन

# ---- clothes, sport, going out -----------------------------------------------
shirt	सर्ट
sart	सर्ट
pant	पाइन्ट
jacket	ज्याकेट
sweater	स्वेटर
cap	क्याप
film	फिल्म
philm	फिल्म
movie	मुभी
music	म्युजिक
news	न्युज
party	पार्टी
parti	पार्टी
picnic	पिकनिक
game	गेम
football	फुटबल
phutbal	फुटबल
cricket	क्रिकेट
kriket	क्रिकेट
volleyball	भलिबल
match	म्याच
team	टिम
club	क्लब
gym	जिम
ball	बल

# ---- Nepal: cities and districts ---------------------------------------------
kathmandu	काठमाडौं
kathmandau	काठमाडौं
kaThamaaDauM	काठमाडौं
lalitpur	ललितपुर
patan	पाटन
bhaktapur	भक्तपुर
pokhara	पोखरा
chitwan	चितवन
biratnagar	विराटनगर
birgunj	वीरगञ्ज
birganj	वीरगञ्ज
dharan	धरान
itahari	इटहरी
janakpur	जनकपुर
nepalgunj	नेपालगञ्ज
nepalganj	नेपालगञ्ज
butwal	बुटवल
bhairahawa	भैरहवा
hetauda	हेटौंडा
damak	दमक
dhangadhi	धनगढी
mahendranagar	महेन्द्रनगर
surkhet	सुर्खेत
tansen	तानसेन
gorkha	गोरखा
lamjung	लमजुङ
kaski	कास्की
syangja	स्याङ्जा
baglung	बागलुङ
myagdi	म्याग्दी
mustang	मुस्ताङ
manang	मनाङ
dolpa	डोल्पा
humla	हुम्ला
jumla	जुम्ला
mugu	मुगु
kalikot	कालिकोट
rukum	रुकुम
rolpa	रोल्पा
salyan	सल्यान
pyuthan	प्युठान
banke	बाँके
bardiya	बर्दिया
kailali	कैलाली
kanchanpur	कञ्चनपुर
doti	डोटी
bajhang	बझाङ
bajura	बाजुरा
achham	अछाम
dadeldhura	डडेल्धुरा
baitadi	बैतडी
darchula	दार्चुला
solukhumbu	सोलुखुम्बु
khotang	खोटाङ
bhojpur	भोजपुर
dhankuta	धनकुटा
ilam	इलाम
jhapa	झापा
morang	मोरङ
sunsari	सुनसरी
saptari	सप्तरी
siraha	सिरहा
dhanusha	धनुषा
mahottari	महोत्तरी
sarlahi	सर्लाही
rautahat	रौतहट
bara	बारा
parsa	पर्सा
makwanpur	मकवानपुर
sindhuli	सिन्धुली
ramechhap	रामेछाप
dolakha	दोलखा
sindhupalchok	सिन्धुपाल्चोक
kavre	काभ्रे
nuwakot	नुवाकोट
dhading	धादिङ
rasuwa	रसुवा
tanahun	तनहुँ
nawalparasi	नवलपरासी
rupandehi	रुपन्देही
kapilvastu	कपिलवस्तु
gulmi	गुल्मी
parbat	पर्वत
palpa	पाल्पा
dang	दाङ

# ---- Nepal: rivers, peaks, places people go ----------------------------------
sagarmatha	सगरमाथा
everest	एभरेस्ट
annapurna	अन्नपूर्ण
machhapuchhre	माछापुच्छ्रे
langtang	लाङटाङ
dhaulagiri	धौलागिरी
bagmati	बागमती
koshi	कोशी
gandaki	गण्डकी
karnali	कर्णाली
narayani	नारायणी
mahakali	महाकाली
rapti	राप्ती
trishuli	त्रिशुली
seti	सेती
bheri	भेरी
phewa	फेवा
begnas	बेगनास
rara	रारा
pashupati	पशुपति
pashupatinath	पशुपतिनाथ
swayambhu	स्वयम्भू
boudha	बौद्ध
budhanilkantha	बुढानीलकण्ठ
lumbini	लुम्बिनी
muktinath	मुक्तिनाथ
thamel	ठमेल
basantapur	बसन्तपुर
durbar	दरबार

# ---- the wider world ---------------------------------------------------------
nepal	नेपाल
bharat	भारत
china	चीन
chin	चीन
america	अमेरिका
japan	जापान
korea	कोरिया
australia	अस्ट्रेलिया
canada	क्यानडा
britain	बेलायत
london	लन्डन
paris	पेरिस
germany	जर्मनी
france	फ्रान्स
russia	रुस
pakistan	पाकिस्तान
bangladesh	बंगलादेश
bhutan	भुटान
srilanka	श्रीलंका
tibet	तिब्बत
lhasa	ल्हासा
delhi	दिल्ली
mumbai	मुम्बई
kolkata	कोलकाता
banaras	बनारस
dubai	दुबई
qatar	कतार
malaysia	मलेसिया
singapore	सिंगापुर
thailand	थाइल्यान्ड
saudi	साउदी

# ---- names people type every day ---------------------------------------------
ram	राम
shyam	श्याम
hari	हरि
krishna	कृष्ण
gopal	गोपाल
bishnu	विष्णु
shiva	शिव
laxmi	लक्ष्मी
saraswati	सरस्वती
parvati	पार्वती
sita	सीता
gita	गीता
sunita	सुनिता
anita	अनिता
kamal	कमल
bimal	बिमल
suresh	सुरेश
ramesh	रमेश
mahesh	महेश
dinesh	दिनेश
rajesh	राजेश
prakash	प्रकाश
santosh	सन्तोष
manoj	मनोज
sanjay	सञ्जय
bikash	विकास
prabin	प्रवीण
pradip	प्रदीप
sudarshan	सुदर्शन
sagar	सागर
nabin	नविन
kiran	किरण
anil	अनिल
sunil	सुनिल
deepak	दीपक
milan	मिलन
sarita	सरिता
sabina	सबिना
puja	पूजा
pooja	पूजा
kumari	कुमारी
buddha	बुद्ध
thapa	थापा
shrestha	श्रेष्ठ
sharma	शर्मा
adhikari	अधिकारी
gurung	गुरुङ
tamang	तामाङ
magar	मगर
rai	राई
limbu	लिम्बू
newar	नेवार
chhetri	क्षेत्री
poudel	पौडेल
dahal	दाहाल
karki	कार्की
bhattarai	भट्टराई
koirala	कोइराला
bhandari	भण्डारी
pandey	पाण्डे
joshi	जोशी
maharjan	महर्जन
